# Comprimento_de_Onda(Angstrom) Fluxo
4.095890485771085423e+03 1.323622817907955360e-17
4.096893539552878792e+03 1.349129097532150479e-17
4.097896593334672616e+03 1.438946849984995883e-17
4.098899647116466440e+03 1.416716536458755774e-17
4.099902700898260264e+03 1.376533591226032286e-17
4.100905754680053178e+03 1.361186578449090942e-17
4.101908808461847912e+03 1.288361845474106151e-17
4.102911862243640826e+03 1.266295561863335308e-17
4.103914916025434650e+03 1.170943143931897596e-17
4.104917969807228474e+03 1.158869202120767328e-17
4.105921023589022298e+03 1.179873551261142594e-17
4.106924077370815212e+03 1.249994230813691537e-17
4.107927131152609036e+03 1.229006425285567332e-17
4.108930184934402860e+03 1.183250598829951584e-17
4.109933238716196684e+03 1.172260925365755825e-17
4.110936292497990507e+03 1.173452313602015950e-17
4.111939346279784331e+03 1.160028413031199141e-17
4.112942400061578155e+03 1.150324757265339573e-17
4.113945453843371070e+03 1.127066258237696052e-17
4.114948507625165803e+03 1.070994000618441454e-17
4.115951561406958717e+03 1.023127788266019167e-17
4.116954615188752541e+03 9.832341908115667275e-18
4.117957668970546365e+03 9.410663429809609933e-18
4.118960722752339279e+03 8.908960190322722482e-18
4.119963776534133103e+03 8.237562502531806509e-18
4.120966830315926927e+03 7.751325886138435569e-18
4.121969884097720751e+03 7.467007365991708897e-18
4.122972937879514575e+03 7.212271306091716153e-18
4.123975991661308399e+03 7.070638960068549095e-18
4.124979045443102223e+03 6.925713608026808435e-18
4.125982099224895137e+03 6.979620968546889248e-18
4.126985153006688961e+03 6.977950890890144685e-18
4.127988206788482785e+03 6.640776770372198374e-18
4.128991260570275699e+03 6.471924805522055111e-18
4.129994314352069523e+03 6.588048142225005625e-18
4.130997368133863347e+03 6.577580998753759613e-18
4.132000421915657171e+03 6.331012106631809188e-18
4.133003475697450995e+03 6.461401413769155493e-18
4.134006529479244819e+03 6.654932312194818337e-18
4.135009583261038642e+03 6.602034939202664770e-18
4.136012637042832466e+03 6.303100137632126098e-18
4.137015690824626290e+03 6.096347170705109384e-18
4.138018744606419205e+03 6.051906065115085419e-18
4.139021798388213028e+03 6.301303914931967199e-18
4.140024852170006852e+03 6.430509940203056398e-18
